model_id,method,n_row_clusters,n_column_clusters,n_blocks,random_state,row_cluster,column_cluster,n_rows,n_features,volume,n_binary_features,n_numeric_features,binary_feature_fraction,n_sparse_features,sparse_feature_fraction,block_mean,block_std,block_zero_fraction,block_nonzero_fraction,block_h_score,binary_n_values,binary_mean,binary_std,binary_zero_fraction,binary_one_fraction,numeric_n_values,numeric_mean,numeric_std,numeric_zero_fraction,numeric_one_fraction
bistochastic_r5_c5_seed42,bistochastic,5,5,25,42,1,0,1037,977,1013149,372,605,0.38075742067553736,626,0.6407369498464688,0.008631666152985395,0.04454069486971229,0.9226362558715451,0.07736374412845494,0.0016978019863114265,385764,0.0006091807426302091,0.024674068198272815,0.9993908192573698,0.0006091807426302091,627385,0.01356450015736908,0.05258764940129036,0.8754417144177817,9.563505662392311e-05
bistochastic_r5_c5_seed42,bistochastic,5,5,25,42,1,1,1037,102,105774,81,21,0.7941176470588235,0,0.0,0.38026849097572185,0.4380526562278813,0.516119273167319,0.483880726832681,0.16992575835067356,83997,0.36114385037560864,0.48033214519901607,0.6388561496243913,0.36114385037560864,21777,0.4540349618618726,0.1878017491379256,0.04270560683289709,9.184001469440235e-05
bistochastic_r5_c5_seed42,bistochastic,5,5,25,42,1,2,1037,180,186660,133,47,0.7388888888888889,0,0.0,0.15619034587590808,0.32156693566704275,0.6793260473588343,0.32067395264116577,0.09339247609168175,137921,0.1538344414556159,0.36078997502377275,0.8461655585443841,0.1538344414556159,48739,0.16285705412907528,0.16615775824049775,0.2072057284720655,0.00012310470054781593
bistochastic_r5_c5_seed42,bistochastic,5,5,25,42,1,3,1037,44,45628,23,21,0.5227272727272727,0,0.0,0.7544632273717236,0.3249526426280942,0.12062768475497501,0.879372315245025,0.08781109295291739,23851,0.7784998532556286,0.4152563446072718,0.2215001467443713,0.7784998532556286,21777,0.7281373990226845,0.17623483360193404,0.01014832162373146,0.09909537585526014
bistochastic_r5_c5_seed42,bistochastic,5,5,25,42,1,4,1037,220,228140,219,1,0.9954545454545455,0,0.0,0.0025274128902778993,0.04949495962906385,0.9973788024896993,0.0026211975103006924,0.002319084057192428,227103,0.0022016441878795084,0.046870000541385584,0.9977983558121205,0.0022016441878795084,1037,0.07387075871552556,0.22963793169533797,0.90549662487946,0.0
bistochastic_r5_c5_seed42,bistochastic,5,5,25,42,2,0,675,977,659475,372,605,0.38075742067553736,626,0.6407369498464688,0.054096780725287535,0.1956532515265505,0.835447894158232,0.16455210584176808,0.03223460292250302,251100,0.09766626841895659,0.29686287816443624,0.9023337315810435,0.09766626841895659,408375,0.027306946969841442,0.07579792194472683,0.7943213957759412,0.0002546678910315274
bistochastic_r5_c5_seed42,bistochastic,5,5,25,42,2,1,675,102,68850,81,21,0.7941176470588235,0,0.0,0.4438356298428758,0.4500263323249611,0.45864923747276687,0.5413507625272331,0.1651567329930335,54675,0.42812985825331507,0.4948077229847079,0.5718701417466849,0.42812985825331507,14175,0.5044150345454673,0.18628709991524706,0.021940035273368606,0.0002821869488536155
bistochastic_r5_c5_seed42,bistochastic,5,5,25,42,2,2,675,180,121500,133,47,0.7388888888888889,0,0.0,0.2557129696369794,0.3963266235874548,0.5752098765432099,0.4247901234567901,0.14306526419439738,89775,0.27620161514898356,0.4471177506407863,0.7237983848510164,0.27620161514898356,31725,0.19773446212428686,0.17691450243068482,0.15473601260835304,3.152088258471237e-05
bistochastic_r5_c5_seed42,bistochastic,5,5,25,42,2,3,675,44,29700,23,21,0.5227272727272727,0,0.0,0.6962599033562625,0.3640013714808274,0.18013468013468015,0.8198653198653199,0.08873373307680031,15525,0.6588083735909823,0.4741095869916437,0.34119162640901773,0.6588083735909823,14175,0.737278245480141,0.16794804118477064,0.0037389770723104056,0.09417989417989418
bistochastic_r5_c5_seed42,bistochastic,5,5,25,42,2,4,675,220,148500,219,1,0.9954545454545455,0,0.0,0.34311555366723906,0.4745844250511996,0.6566734006734006,0.3433265993265993,0.1995236264501109,147825,0.3436969389480805,0.4749414207097544,0.6563030610519195,0.3436969389480805,675,0.21579217716296298,0.3670275656506669,0.7377777777777778,0.0
