k,pairwise_ari
4,0.967452383099258
4,0.9925177049244421
4,0.957265571471372
4,0.9681214230077013
4,0.9740139916199917
4,0.8603769951598942
4,0.9896022469813106
4,0.9504953216920718
4,0.9636673877005232
4,0.9610149552018665
4,0.9799845206507207
4,0.9137152460004078
4,0.9721947961181764
4,0.9383731029177763
4,0.9542153322567097
4,0.9462931140650245
4,0.41133941572800947
4,0.9620288988972852
4,0.9825350995910627
4,0.9647033448744903
4,0.8980199925113255
4,0.9336522797889679
4,0.9296173232225041
4,0.9222344847863196
4,0.9610970720861838
4,0.9918594415128352
4,0.9568085628869605
4,0.9502141318644443
4,0.9370445982409383
4,0.9579326244646159
4,0.9232574969634272
4,0.9749050711575123
4,0.9833647823735129
4,0.8328854471621828
4,0.9551371669959556
4,0.9193936829281943
4,0.9802493891719883
4,0.9814880922258759
4,0.9484404456298294
4,0.9400638970031933
4,0.9729981154769233
4,0.9553304457793271
4,0.9663763093684075
4,0.424580988624166
4,0.9419018587581691
4,0.9204067018277187
4,0.947550685662012
4,0.9791806296685766
4,0.9720415928124014
4,0.97197883017239
4,0.9737512434300399
4,0.9496310637022334
4,0.9179195851663918
4,0.9554968644204337
4,0.9560420659432649
4,0.9752257068291414
4,0.9526518828804494
4,0.9701104431459222
4,0.9228218307409793
4,0.926052680273245
4,0.8985408053028309
4,0.9571554903894391
4,0.9741353464072066
4,0.9177395839061603
4,0.9106667317983651
4,0.9611732030098235
4,0.9652161181959539
4,0.9797846923193407
4,0.9698515327337824
4,0.41382358084168636
4,0.9739129289767484
4,0.97441298443075
4,0.9860507681638798
4,0.9222232449969625
4,0.9603729642362007
4,0.9544379252654588
4,0.9462788415912406
4,0.9833663558483576
4,0.9765362036921487
4,0.9806879092153735
4,0.9686254835641368
4,0.9623258399035951
4,0.9808628632162757
4,0.9495639112301929
4,0.9660900429259335
4,0.9838263411232477
4,0.8540599828090973
4,0.9807155443684894
4,0.9433733549191115
4,0.9702489617724445
4,0.9658349341062525
4,0.9702805794247521
4,0.9747696426942359
4,0.9900179027652378
4,0.4304151027579861
4,0.9669074161855319
4,0.9451392957560767
4,0.9710245940117711
4,0.9532935993285284
4,0.9923937077724413
4,0.9858906961649252
4,0.9530355921110393
4,0.9748312741844812
4,0.9426352194108417
4,0.9790549181375363
4,0.9796734208121315
4,0.9553762094197906
4,0.9778722043031718
4,0.9652775604339239
4,0.9474670541840624
4,0.9509113184501705
4,0.8745828204781925
4,0.9807395152544723
4,0.9534426679833764
4,0.942342224415061
4,0.9351621008916767
4,0.9855792601667225
4,0.9791161493296038
4,0.42273663240243187
4,0.9797216757143131
4,0.9610535946250898
4,0.9874298300281792
4,0.9358202074669592
4,0.9695374602618899
4,0.9641250647488985
4,0.9509802311945562
4,0.9881637086672006
4,0.9585211717158765
4,0.9871001482884054
4,0.9781927437507261
4,0.973496860231886
4,0.9876508342300321
4,0.962552866319913
4,0.963669749608108
4,0.9669824617688498
4,0.8659919601593762
4,0.9898379969410739
4,0.9510764831857205
4,0.9582588460181733
4,0.952686492856899
4,0.9799086284070292
4,0.4274464617620436
4,0.9736183598633095
4,0.9530981534550536
4,0.9808824343975882
4,0.9481370340527937
4,0.9840234501990787
4,0.9824030762163307
4,0.9517104389180616
4,0.9815755376776604
4,0.9505781047567851
4,0.988964094592773
4,0.9834071800207321
4,0.960137983501886
4,0.9846335845151174
4,0.9663055232072201
4,0.954052667499678
4,0.9575144177337137
4,0.8725787122261892
4,0.98650111574648
4,0.9521275125908095
4,0.9488886388388621
4,0.9430760388455777
4,0.9913545311377737
4,0.4252420784180163
4,0.41140574054281365
4,0.4200728619602735
4,0.42706365975087834
4,0.4313920296586971
4,0.43301786846856133
4,0.4136738009317214
4,0.4224393248297951
4,0.40998442212062186
4,0.422456526657094
4,0.42995112113571293
4,0.41566806476866636
4,0.42326748837219647
4,0.43212847112551644
4,0.41806038635164816
4,0.4154367195087195
4,0.46723137663250947
4,0.4226082873429253
4,0.41484446354126603
4,0.41626404303116477
4,0.4134083695560319
4,0.42965331892393466
4,0.9603392376323153
4,0.9850334871127239
4,0.9226421345821885
4,0.9620200365366769
4,0.9563676787915494
4,0.9399102553657628
4,0.9847681491433541
4,0.9629227823926814
4,0.9830032465539146
4,0.9793841719210651
4,0.9572914907178119
4,0.98785768892018
4,0.948235351002112
4,0.9765159968311105
4,0.9783323732148318
4,0.8529669314118767
4,0.9818354604610657
4,0.9430108948938878
4,0.9712122203561887
4,0.9655972948307681
4,0.9771421445803192
4,0.9698578169202214
4,0.9045459500225902
4,0.941925078951046
4,0.9378814213624854
4,0.9288328152238734
4,0.9695034282985298
4,0.98962845459702
4,0.9636529167227816
4,0.9536313240240254
4,0.9421503051793801
4,0.9647790328019685
4,0.9300066512984652
4,0.9800849456125763
4,0.9754105982259028
4,0.8363255603183991
4,0.9619733869025169
4,0.9259700059553214
4,0.9837104135754826
4,0.9861197692131172
4,0.9535584257544966
4,0.9296013057430699
4,0.9661387205054773
4,0.963601903306498
4,0.9518788143088596
4,0.9927975119933836
4,0.9673124095434338
4,0.9918270927414404
4,0.9778780486395294
4,0.9699663810664617
4,0.9912706993898325
4,0.9569584346986304
4,0.9701621461341082
4,0.9762076492717993
4,0.859927563439233
4,0.9883709158695202
4,0.9519764762365478
4,0.9673763450899452
4,0.9614484223567966
4,0.9795612616638157
4,0.9580065297108257
