repeat,split_seed,kmeans_seed,k,n_train,n_validation,n_components,retained_variance,validation_silhouette,validation_calinski_harabasz,validation_davies_bouldin,train_inertia,minimum_cluster_fraction,maximum_cluster_fraction,empty_clusters_in_validation
6,3543069911,1543245936,10,3001,750,91,0.900575171473198,0.08149813528583917,42.58421356701464,2.343502294307982,9207.873910908993,0.0005331911490269261,0.20634497467342042,1
7,3479688010,895134399,2,3001,750,93,0.9003378561989526,0.10778197358157039,70.38002995673223,2.6036087179618046,12230.013921606871,0.26659557451346305,0.733404425486537,0
7,3479688010,1822630141,3,3001,750,93,0.9003378561989526,0.09083415662216902,67.29475736941158,2.7062820136893158,11402.395849296443,0.2375366568914956,0.436950146627566,0
7,3479688010,1258950845,4,3001,750,93,0.9003378561989526,0.08659569985351075,64.76336347122,2.539363783124936,10834.780277417765,0.0917088776326313,0.4505465209277526,0
7,3479688010,1972844293,5,3001,750,93,0.9003378561989526,0.07567407330072966,61.374603307991634,2.4669153570051643,10384.380502384269,0.03625699813383098,0.33884297520661155,0
7,3479688010,163659399,6,3001,750,93,0.9003378561989526,0.07833843370221263,56.74857509837544,2.4468500713577215,10022.485429711553,0.006398293788323114,0.3097840575846441,0
7,3479688010,1335206886,7,3001,750,93,0.9003378561989526,0.08455852005637632,53.97711816265121,2.3806114124010063,9708.507121707673,0.011197014129565449,0.26712876566249,0
7,3479688010,827877336,8,3001,750,93,0.9003378561989526,0.07512873449582007,48.27648307817816,2.352944472759149,9437.189792376823,0.006398293788323114,0.2439349506798187,0
7,3479688010,236727554,9,3001,750,93,0.9003378561989526,0.07774431863306588,45.09037368217775,2.4026780855822683,9249.094881813755,0.006664889362836577,0.2058117835243935,0
7,3479688010,1074657309,10,3001,750,93,0.9003378561989526,0.07967203433445603,43.0583903285115,2.4081387023665672,9071.246689127121,0.006398293788323114,0.1855505198613703,0
8,877132087,718240575,2,3001,750,92,0.9007043476447592,0.11796685217956503,73.82697100896614,2.646677234059543,12635.97869352629,0.26526259664089574,0.7347374033591042,0
8,877132087,1672371993,3,3001,750,92,0.9007043476447592,0.1041022405927817,64.31421485773694,2.7326690064428045,11739.9829110818,0.19834710743801653,0.5582511330311917,0
8,877132087,1480171784,4,3001,750,92,0.9007043476447592,0.09369327378157899,59.93553213444555,2.544260664619098,11109.017585380083,0.02932551319648094,0.39162889896027725,0
8,877132087,340260177,5,3001,750,92,0.9007043476447592,0.0811951242260569,54.95436851534397,2.47257826942399,10662.714409359,0.02932551319648094,0.3423087176752866,0
8,877132087,1355964438,6,3001,750,92,0.9007043476447592,0.0865811830930697,48.87091889003538,2.4283603433137912,10279.579265433928,0.014396161023727006,0.31884830711810186,0
8,877132087,379057082,7,3001,750,92,0.9007043476447592,0.08728398868490855,46.17171155333021,2.307575054295015,9937.5957488859,0.007731271660890429,0.27406025059984,0
8,877132087,577323561,8,3001,750,92,0.9007043476447592,0.07907689125324857,42.6455279680321,2.332006778208464,9684.974180912097,0.00959744068248467,0.2324713409757398,0
8,877132087,1532142572,9,3001,750,92,0.9007043476447592,0.07656574719927242,43.38662943506915,2.306094668691834,9456.206199715069,0.0005331911490269261,0.23647027459344175,1
8,877132087,2017560066,10,3001,750,92,0.9007043476447592,0.07700485973614911,40.462582142343265,2.3854188659126283,9280.05957182587,0.0007997867235403892,0.2071447613969608,1
9,1244265337,751334045,2,3001,750,91,0.9004151131825235,0.11815448406224892,72.70468416318198,2.663005900518776,12480.545390183883,0.26526259664089574,0.7347374033591042,0
9,1244265337,994334123,3,3001,750,91,0.9004151131825235,0.10374415340527886,68.879626976078,2.6790875371361635,11619.968432981052,0.19994668088509732,0.5558517728605705,0
9,1244265337,984508037,4,3001,750,91,0.9004151131825235,0.09193625034000275,61.37537209411052,2.5184924946628082,10992.150857316205,0.020527859237536656,0.39669421487603307,0
9,1244265337,1665476146,5,3001,750,91,0.9004151131825235,0.07334378431008459,55.62012203409944,2.467392550630561,10543.011262129381,0.020527859237536656,0.34710743801652894,0
9,1244265337,210774244,6,3001,750,91,0.9004151131825235,0.08020696552881477,50.90349398711173,2.4294696328896896,10155.544152290498,0.006131698213809651,0.30791788856304986,0
9,1244265337,1638055025,7,3001,750,91,0.9004151131825235,0.0850370836624567,47.56595390929744,2.374538499754358,9821.145431799137,0.006131698213809651,0.2735270594508131,0
9,1244265337,522083286,8,3001,750,91,0.9004151131825235,0.07872326582416438,43.9033683979851,2.3581554088500374,9556.702262193532,0.006131698213809651,0.24446814182884563,0
9,1244265337,1264175013,9,3001,750,91,0.9004151131825235,0.07961169760407424,44.370125088616085,2.38906581527798,9347.800659676715,0.0005331911490269261,0.24526792855238602,1
9,1244265337,1832687878,10,3001,750,91,0.9004151131825235,0.08175005489127728,39.702716501067755,2.3619342478542453,9150.075544267926,0.0005331911490269261,0.24526792855238602,1
10,2740186692,1031425578,2,3001,750,92,0.900687171988638,0.1142617375290024,80.74422376131831,2.55516019223461,12541.85268011131,0.26526259664089574,0.7347374033591042,0
10,2740186692,1180378308,3,3001,750,92,0.900687171988638,0.10983240011905089,74.03765688589715,2.5834991397945415,11685.761838999453,0.20261263663023193,0.5563849640095975,0
10,2740186692,1067423785,4,3001,750,92,0.900687171988638,0.09817097703680057,64.2524082903242,2.6037515929838886,11034.593718315398,0.02772593974940016,0.39402825913089845,0
10,2740186692,300625139,5,3001,750,92,0.900687171988638,0.08444208243364251,59.66937386930331,2.4864013325261376,10605.244769237272,0.027459344174886696,0.3433750999733404,0
10,2740186692,63666411,6,3001,750,92,0.900687171988638,0.08791128769522251,54.58684505094085,2.380641242589523,10237.647981920523,0.006131698213809651,0.3020527859237537,0
10,2740186692,1946309821,7,3001,750,92,0.900687171988638,0.09545623549366739,52.2933512332919,2.305043467579759,9924.112646720898,0.009064249533457745,0.2697947214076246,0
10,2740186692,71293180,8,3001,750,92,0.900687171988638,0.0841402117585105,49.04795874297001,2.2806882284193746,9672.763376879859,0.006131698213809651,0.23380431884830713,0
10,2740186692,682996977,9,3001,750,92,0.900687171988638,0.08551053942068741,49.517354414232486,2.253624496458246,9456.750122085974,0.0007997867235403892,0.23806984804052253,1
10,2740186692,228391705,10,3001,750,92,0.900687171988638,0.08523730304249492,45.58413568098117,2.3384017468343803,9294.33801909657,0.0005331911490269261,0.20181284990669154,1
11,3884972972,1503255441,2,3001,750,92,0.900339148060087,0.11223436740638185,75.42363903807583,2.5821447141538503,12420.613373619088,0.2668621700879765,0.7331378299120235,0
11,3884972972,677761131,3,3001,750,92,0.900339148060087,0.10473968816659066,69.65756477702301,2.6594345512586504,11565.052644231273,0.20607837909890697,0.5513196480938416,0
11,3884972972,835481049,4,3001,750,92,0.900339148060087,0.09410489795841101,62.364122121723724,2.587261711550264,10940.496240451594,0.04025593175153293,0.38736336976806185,0
11,3884972972,1895443247,5,3001,750,92,0.900339148060087,0.08645328875739067,57.77917262254864,2.478871880215361,10511.15439121352,0.03305785123966942,0.3393761663556385,0
11,3884972972,939343716,6,3001,750,92,0.900339148060087,0.08835709730974063,54.601217735303806,2.447099980886914,10160.356001298731,0.007731271660890429,0.30231938149826715,0
11,3884972972,2135894006,7,3001,750,92,0.900339148060087,0.09642211313833406,51.22601269182966,2.3551591256780453,9835.545701531259,0.010130631831511597,0.27032791255665156,0
11,3884972972,883825219,8,3001,750,92,0.900339148060087,0.0838865906271796,47.94966418000127,2.314301268237805,9589.36094409875,0.009864036256998134,0.23806984804052253,0
11,3884972972,535086712,9,3001,750,92,0.900339148060087,0.08512813429325386,44.48490907476058,2.332761186275901,9412.712459266422,0.006398293788323114,0.22580645161290322,0
11,3884972972,1137740870,10,3001,750,92,0.900339148060087,0.08635109321331223,41.58102011255184,2.289666209306451,9192.387190046535,0.00693148493735004,0.2050119968008531,0
12,829139639,1079644536,2,3001,750,92,0.9012678713451758,0.10828861092707295,70.93543449282474,2.669972715702958,12267.038537425378,0.26632897893894963,0.7336710210610504,0
12,829139639,55201671,3,3001,750,92,0.9012678713451758,0.07626028608307238,66.664982400845,2.75142558160223,11436.84261445952,0.2532657957877899,0.3908291122367369,0
12,829139639,257035572,4,3001,750,92,0.9012678713451758,0.08704922902190686,65.630227255835,2.614652609735796,10850.338733462871,0.03652359370834444,0.3841642228739003,0
12,829139639,718978861,5,3001,750,92,0.9012678713451758,0.07673253780326657,58.04787846841493,2.5080234443349565,10400.025944514593,0.03519061583577713,0.34417488669688084,0
12,829139639,1616071188,6,3001,750,92,0.9012678713451758,0.08246409938920875,54.392718609962934,2.5609329279636266,10064.860793123476,0.01972807251399627,0.24073580378565715,0
12,829139639,2017827490,7,3001,750,92,0.9012678713451758,0.08951260171939138,53.68484793926204,2.3556098177208127,9764.932811248244,0.013063183151159691,0.27752599306851505,0
12,829139639,692149244,8,3001,750,92,0.9012678713451758,0.07577358425583566,51.19046784680608,2.2904690593465604,9518.815916357495,0.006131698213809651,0.23620367901892828,0
12,829139639,668331271,9,3001,750,92,0.9012678713451758,0.07828815110175108,48.06510330420155,2.3552400418082544,9307.706855077484,0.0007997867235403892,0.23727006131698214,1
12,829139639,1711239181,10,3001,750,92,0.9012678713451758,0.07933403977702425,47.476206216511656,2.2764828695339827,9125.78679721832,0.0007997867235403892,0.23700346574246867,1
13,2545567356,1945636637,2,3001,750,92,0.9004072223198073,0.11490635401881975,68.86125957702248,2.6305469402972435,12464.138109628679,0.26606238336443616,0.7339376166355639,0
13,2545567356,2013555715,3,3001,750,92,0.9004072223198073,0.10050289175423265,64.73820626522213,2.71981468499636,11595.683449037402,0.20341242335377233,0.5531858171154359,0
13,2545567356,30694655,4,3001,750,92,0.9004072223198073,0.08912316077799967,63.11797624297773,2.5927168010555404,11004.487280240122,0.038656358304452146,0.3809650759797387,0
13,2545567356,757051400,5,3001,750,92,0.9004072223198073,0.07706677412608644,58.292074976438975,2.4608713253485277,10569.091643799124,0.032791255665155956,0.33964276193015197,0
13,2545567356,1613956614,6,3001,750,92,0.9004072223198073,0.08152713765860665,53.87816165419516,2.3947632207310705,10214.045844347653,0.015195947747267395,0.31378299120234604,0
13,2545567356,113297635,7,3001,750,92,0.9004072223198073,0.08878668352159023,51.03725357980431,2.300946020909746,9882.153218289575,0.012796587576646227,0.278059184217542,0
13,2545567356,922236516,8,3001,750,92,0.9004072223198073,0.07820851831180659,48.25459031666798,2.2851666365697874,9632.88041392326,0.009064249533457745,0.23513729672087444,0
13,2545567356,546849288,9,3001,750,92,0.9004072223198073,0.07876413260055638,48.972813080296,2.2632431349468303,9423.780416975747,0.0005331911490269261,0.2404692082111437,1
13,2545567356,741216813,10,3001,750,92,0.9004072223198073,0.07797485274165393,43.09420471097878,2.272968701661072,9271.863029209639,0.006131698213809651,0.19968008531058384,0
14,2718398101,930457630,2,3001,750,92,0.9005879440423982,0.1120046240047539,75.311750987147,2.6559882902288448,12399.794306984619,0.26606238336443616,0.7339376166355639,0
