method,n_row_clusters,n_column_clusters,n_blocks,seed,model_id,block_r2,weighted_h_score,within_block_sse,total_sst,block_mean_range,block_zero_fraction_range,row_cluster_entropy,smallest_row_cluster,largest_row_cluster,smallest_row_cluster_fraction,largest_row_cluster_fraction,column_cluster_entropy,smallest_column_cluster,largest_column_cluster,smallest_column_cluster_fraction,largest_column_cluster_fraction,feature_type_nmi,sparse_flag_nmi,feature_zero_fraction_eta2,activity_chi2,activity_chi2_p_value,activity_chi2_dof,activity_cramers_v,activity_nmi,minimum_expected_frequency,status,error
bistochastic,5,5,25,42,bistochastic_r5_c5_seed42,0.37417549172518594,0.040859261852531935,275423.06370526017,440096.3210349626,0.7746683710548161,0.9000947668469366,0.9706827830179721,381,1037,0.10157291388962943,0.2764596107704612,0.6835438062681373,44,977,0.028890347997373604,0.6414970453053185,0.15310541875616726,0.29070025692804646,0.4298809340479064,95.97863992407032,7.056747224357377e-20,4,0.15996087225186767,0.011373079171059725,174.40069314849373,ok,
bistochastic,5,6,30,42,bistochastic_r5_c6_seed42,0.3834784663266019,0.040770703810627376,271328.85880849534,440096.3210349626,0.7747046829816961,0.9001423632296115,0.9706827830179721,381,1037,0.10157291388962943,0.2764596107704612,0.6791310067708716,44,941,0.028890347997373604,0.6178594878529219,0.15427880707307007,0.2745743527294374,0.4366571717799038,95.97863992407032,7.056747224357377e-20,4,0.15996087225186767,0.011373079171059725,174.40069314849373,ok,
bistochastic,5,7,35,42,bistochastic_r5_c7_seed42,0.39306061915672963,0.04047561958965451,267111.7886003613,440096.3210349626,0.7840263817049217,0.9220078299776286,0.9706827830179721,381,1037,0.10157291388962943,0.2764596107704612,0.6510619259923425,34,940,0.02232435981615233,0.6172028890347997,0.15307418775348874,0.26848192430892986,0.44271906547445444,95.97863992407032,7.056747224357377e-20,4,0.15996087225186767,0.011373079171059725,174.40069314849373,ok,
bistochastic,5,8,40,42,bistochastic_r5_c8_seed42,0.3990415379276028,0.04030540684840967,264479.6082528911,440096.3210349626,0.8090531382713327,0.9217641418983701,0.9706827830179721,381,1037,0.10157291388962943,0.2764596107704612,0.6381736581034182,24,934,0.015758371634931056,0.613263296126067,0.15652127109295033,0.2649104252774071,0.46751870260413303,95.97863992407032,7.056747224357377e-20,4,0.15996087225186767,0.011373079171059725,174.40069314849373,ok,
bistochastic,6,3,18,42,bistochastic_r6_c3_seed42,0.327883684762988,0.03993405457143012,295795.91764338413,440096.3210349626,0.6338437329658799,0.707412092125999,0.9852559110280011,378,824,0.10077312716608905,0.21967475339909356,0.7490744685393969,127,1017,0.08338804990151018,0.6677609980302035,0.1339659377389402,0.309783139572117,0.3402645387906647,69.57080303542793,1.258753633087058e-13,5,0.13618835561307321,0.007560928096942839,173.0274593441749,ok,
bistochastic,6,4,24,42,bistochastic_r6_c4_seed42,0.36029249292219134,0.03988298444523943,281532.9204033909,440096.3210349626,0.7403209858194172,0.8738746394445093,0.9852559110280011,378,824,0.10077312716608905,0.21967475339909356,0.7055563275754347,63,995,0.04136572554169402,0.6533158240315168,0.16725705663099782,0.29773861127367995,0.38934585972041597,69.57080303542793,1.258753633087058e-13,5,0.13618835561307321,0.007560928096942839,173.0274593441749,ok,
bistochastic,6,5,30,42,bistochastic_r6_c5_seed42,0.3763296595664487,0.03975006794297737,274475.0223634286,440096.3210349626,0.7727232058660205,0.8954419446883566,0.985418308955195,381,829,0.10157291388962943,0.2210077312716609,0.6865464484235566,45,975,0.02954694681549573,0.6401838476690742,0.15027531133365435,0.2914233133114416,0.4298207166365455,69.61920445592398,1.229902647348247e-13,5,0.1362357214870509,0.007566819461450944,174.40069314849373,ok,
bistochastic,6,6,36,42,bistochastic_r6_c6_seed42,0.384733507717263,0.03966670657033357,270776.51970971876,440096.3210349626,0.7898916475230447,0.9065823758062449,0.985418308955195,381,829,0.10157291388962943,0.2210077312716609,0.6764551270086508,41,942,0.026920551543007223,0.618516086671044,0.15919388371126583,0.27174458857761674,0.43565241349198214,69.61920445592398,1.229902647348247e-13,5,0.1362357214870509,0.007566819461450944,174.40069314849373,ok,
bistochastic,6,7,42,42,bistochastic_r6_c7_seed42,0.39586186643710464,0.039499009847411184,265878.9699779591,440096.3210349626,0.7969929652577196,0.9228961194580145,0.985418308955195,381,829,0.10157291388962943,0.2210077312716609,0.6527246078193949,38,940,0.02495075508864084,0.6172028890347997,0.15452512209295005,0.26544983890199497,0.43979636977585723,69.61920445592398,1.229902647348247e-13,5,0.1362357214870509,0.007566819461450944,174.40069314849373,ok,
bistochastic,6,8,48,42,bistochastic_r6_c8_seed42,0.4009488578805759,0.03939025172407821,263640.2037585511,440096.3210349626,0.8119922822143107,0.9253440080060045,0.985418308955195,381,829,0.10157291388962943,0.2210077312716609,0.6463481067689628,22,928,0.014445173998686802,0.6093237032173342,0.15526382564324684,0.2669443160762979,0.47193306470450397,69.61920445592398,1.229902647348247e-13,5,0.1362357214870509,0.007566819461450944,174.40069314849373,ok,
