cluster_id,dimensionality,subspace,n_dense_units,n_points,point_fraction,activity_0_count,activity_1_count,activity_1_fraction
16357,2,"D90,D806",3,3298,0.8792322047454012,1511,1787,0.5418435415403274
16826,2,"D93,D469",3,3298,0.8792322047454012,1594,1704,0.5166767738023045
22861,2,"D161,D596",3,3298,0.8792322047454012,1537,1761,0.5339599757428745
5049,2,"D22,D843",2,3297,0.8789656091708877,1450,1847,0.5602062481043373
10171,2,"D53,D672",3,3297,0.8789656091708877,1533,1764,0.535031847133758
12963,2,"D68,D673",3,3297,0.8789656091708877,1487,1810,0.5489839247801032
27876,2,"D228,D741",2,3297,0.8789656091708877,1464,1833,0.5559599636032757
28935,2,"D460,D624",2,3297,0.8789656091708877,1557,1740,0.5277525022747953
12254,2,"D65,D108",3,3296,0.8786990135963743,1453,1843,0.5591626213592233
23464,2,"D166,D361",2,3296,0.8786990135963743,1538,1758,0.533373786407767
23497,2,"D166,D621",2,3296,0.8786990135963743,1494,1802,0.5467233009708737
1704,2,"D7,D164",5,3295,0.8784324180218608,1582,1713,0.5198786039453718
1709,2,"D7,D214",5,3295,0.8784324180218608,1582,1713,0.5198786039453718
5017,2,"D22,D621",2,3295,0.8784324180218608,1494,1801,0.5465857359635812
12241,2,"D65,D93",3,3295,0.8784324180218608,1500,1795,0.5447647951441578
18789,2,"D108,D504",3,3295,0.8784324180218608,1456,1839,0.5581183611532625
4859,2,"D22,D58",3,3294,0.8781658224473474,1504,1790,0.5434122647237402
4943,2,"D22,D180",2,3294,0.8781658224473474,1449,1845,0.5601092896174863
23461,2,"D166,D228",2,3294,0.8781658224473474,1449,1845,0.5601092896174863
19347,2,"D118,D166",2,3293,0.877899226872834,1468,1825,0.554205891284543
23527,2,"D166,D841",2,3293,0.877899226872834,1492,1801,0.546917704221075
30783,2,"D741,D841",2,3293,0.877899226872834,1504,1789,0.543273610689341
10161,2,"D53,D621",2,3292,0.8776326312983205,1487,1805,0.5482989064398542
16570,2,"D92,D128",4,3292,0.8776326312983205,1466,1826,0.554678007290401
16903,2,"D96,D118",3,3292,0.8776326312983205,1464,1828,0.5552855407047388
16972,2,"D96,D228",3,3292,0.8776326312983205,1440,1852,0.5625759416767923
12239,2,"D65,D91",3,3290,0.8770994401492935,1441,1849,0.5620060790273557
16494,2,"D91,D596",3,3290,0.8770994401492935,1513,1777,0.5401215805471125
23529,2,"D166,D843",2,3290,0.8770994401492935,1436,1854,0.5635258358662614
29314,2,"D504,D674",3,3290,0.8770994401492935,1504,1786,0.5428571428571428
5031,2,"D22,D685",2,3289,0.8768328445747801,1563,1726,0.5247795682578291
6947,2,"D35,D77",3,3289,0.8768328445747801,1441,1848,0.5618729096989966
12987,2,"D68,D925",3,3289,0.8768328445747801,1490,1799,0.5469747643660687
14486,2,"D77,D949",4,3289,0.8768328445747801,1471,1818,0.5527515962298571
5016,2,"D22,D611",2,3287,0.8762996534257531,1549,1738,0.5287496197140249
10004,2,"D53,D58",3,3287,0.8762996534257531,1501,1786,0.5433526011560693
16871,2,"D93,D806",3,3287,0.8762996534257531,1528,1759,0.5351384240949194
16988,2,"D96,D462",3,3287,0.8762996534257531,1525,1762,0.5360511104350472
18839,2,"D108,D925",3,3287,0.8762996534257531,1475,1812,0.5512625494371768
20894,2,"D137,D180",3,3287,0.8762996534257531,1431,1856,0.5646486157590508
17019,2,"D96,D685",3,3286,0.8760330578512396,1550,1736,0.5283018867924528
2875,2,"D12,D49",4,3284,0.8754998667022127,1474,1810,0.5511571254567601
4985,2,"D22,D361",2,3284,0.8754998667022127,1538,1746,0.5316686967113277
5859,2,"D29,D77",3,3284,0.8754998667022127,1505,1779,0.5417174177831913
