gower_configuration,numerical_block_weight,binary_block_weight,sigma_reference_median,sigma_multiplier,sigma,k,gower_silhouette,spectral_silhouette,mean_within_gower,eigengap,kmeans_inertia_spectral,valid_cluster_sizes,minimum_required_cluster_size,minimum_cluster_size,maximum_cluster_size,cluster_sizes
block_weight_num_0.5,0.5,0.5,0.43060219287872314,1.0,0.43060219287872314,7,0.13058067429675063,0.476612874489072,0.346863085924015,0.0015507428699067984,809.1691948491734,True,188,312,1018,"[494, 1018, 601, 556, 312, 438, 332]"
block_weight_num_0.4,0.4,0.6,0.5072563290596008,2.0,1.0145126581192017,6,0.13021754972204036,0.531827960034023,0.4091573365445424,0.0003319007031793229,659.8675756398234,True,188,431,1056,"[431, 559, 607, 1056, 494, 604]"
block_weight_num_0.6,0.6,0.4,0.35377925634384155,2.0,0.7075585126876831,8,0.1298807641838231,0.4115473575766876,0.27445470295270136,0.00031389160547036716,981.164396046715,True,188,247,771,"[442, 247, 574, 494, 563, 771, 333, 327]"
block_weight_num_0.5,0.5,0.5,0.43060219287872314,2.0,0.8612043857574463,7,0.1284240306321708,0.46078586702617014,0.34636992627795105,0.00039193939055104376,846.9730408258613,True,188,328,994,"[564, 994, 595, 494, 444, 328, 332]"
block_weight_num_0.5,0.5,0.5,0.43060219287872314,2.0,0.8612043857574463,6,0.12716300700844266,0.5231854993337981,0.3496668951645767,0.0003498231211313944,684.058455116565,True,188,490,1056,"[1056, 591, 490, 608, 494, 512]"
block_weight_num_0.6,0.6,0.4,0.35377925634384155,1.0,0.35377925634384155,7,0.12714206537642825,0.4632225985470439,0.2871814294942188,0.001688422959124608,842.3039387734168,True,188,325,1011,"[553, 333, 1011, 494, 600, 435, 325]"
block_weight_num_0.6,0.6,0.4,0.35377925634384155,1.0,0.35377925634384155,8,0.1270854332982592,0.4288083928289434,0.2773151377404962,0.0008638219957694468,948.40603669196,True,188,311,817,"[564, 583, 330, 817, 388, 442, 311, 316]"
block_weight_num_0.6,0.6,0.4,0.35377925634384155,1.0,0.35377925634384155,6,0.12687064757711874,0.52216347593912,0.2887295922061042,0.0016755161751623344,682.2617525804527,True,188,397,1056,"[494, 581, 397, 1056, 605, 618]"
block_weight_num_0.6,0.6,0.4,0.35377925634384155,2.0,0.7075585126876831,6,0.12463863622570773,0.5088208653848201,0.28950244392819063,0.0003926716886918577,718.5508715650117,True,188,491,1056,"[1056, 547, 609, 554, 494, 491]"
block_weight_num_0.6,0.6,0.4,0.35377925634384155,2.0,0.7075585126876831,7,0.12392537229633542,0.44651135532464487,0.28634387720820664,0.0003999153235546616,880.3299995853988,True,188,334,967,"[358, 967, 565, 589, 444, 494, 334]"
