component,explained_variance_ratio,cumulative_explained_variance
PC60,0.0029140230648037695,0.6578969836662938
PC61,0.0028558225862266493,0.6607528062525204
PC62,0.0028167400534275197,0.6635695463059479
PC63,0.0027934112905110354,0.6663629575964589
PC64,0.0027562081239647248,0.6691191657204236
PC65,0.0027001753042592332,0.6718193410246829
PC66,0.0026884885366618583,0.6745078295613447
PC67,0.002660047370065929,0.6771678769314107
PC68,0.0026061390964477594,0.6797740160278585
PC69,0.0025610812568770424,0.6823350972847355
PC70,0.0025388089452036207,0.6848739062299392
PC71,0.002521232746169831,0.6873951389761089
PC72,0.002480633079892817,0.6898757720560017
PC73,0.0024256678357667694,0.6923014398917685
PC74,0.0023931906075194765,0.694694630499288
PC75,0.0023753890561460326,0.697070019555434
PC76,0.002340854388406419,0.6994108739438404
PC77,0.0023233196529124506,0.7017341935967528
PC78,0.0023070060997303103,0.7040411996964832
PC79,0.0022884175190737966,0.706329617215557
PC80,0.0022638113975435737,0.7085934286131006
PC81,0.0022458051653074327,0.7108392337784081
PC82,0.0022226407587842543,0.7130618745371923
PC83,0.0022070120703070457,0.7152688866074993
PC84,0.002147473287614742,0.7174163598951141
PC85,0.0021271663534909637,0.7195435262486051
PC86,0.0021071620980062334,0.7216506883466113
PC87,0.002068355643120983,0.7237190439897323
PC88,0.002053103169631975,0.7257721471593642
PC89,0.0020283647277953734,0.7278005118871596
PC90,0.0020092362923345313,0.7298097481794941
PC91,0.00198629497060905,0.7317960431501032
PC92,0.0019789084533912483,0.7337749516034944
PC93,0.0019454829454878461,0.7357204345489822
PC94,0.0019331676036689542,0.7376536021526511
PC95,0.0019080749786881822,0.7395616771313392
PC96,0.0018858023301367433,0.741447479461476
PC97,0.0018619138149588356,0.7433093932764349
PC98,0.001853851014688305,0.7451632442911231
PC99,0.0018462051169168003,0.7470094494080399
PC100,0.0018074162954502657,0.7488168657034902
PC101,0.001784949680088501,0.7506018153835786
PC102,0.0017745672938125386,0.7523763826773912
PC103,0.001732402229945887,0.754108784907337
PC104,0.0017296769604854651,0.7558384618678224
PC105,0.0017139635518363416,0.7575524254196588
PC106,0.0017054382743117436,0.7592578636939706
PC107,0.0016902161526143628,0.760948079846585
PC108,0.0016770401451696425,0.7626251199917546
PC109,0.0016562803854511437,0.7642814003772058
PC110,0.001645211211445653,0.7659266115886515
PC111,0.0016373750496627743,0.7675639866383143
PC112,0.0016334715992204105,0.7691974582375347
PC113,0.001618411054103404,0.7708158692916381
PC114,0.0016131549546055226,0.7724290242462437
PC115,0.0016031121968983248,0.7740321364431421
PC116,0.0015621445022148037,0.7755942809453569
PC117,0.001538296102381707,0.7771325770477385
PC118,0.001520857624503308,0.7786534346722418
PC119,0.0015131640406598834,0.7801665987129017
PC120,0.0015066931152837337,0.7816732918281855
PC121,0.0014992136248003056,0.7831725054529858
PC122,0.001487462699148784,0.7846599681521346
PC123,0.001476715557786156,0.7861366837099207
PC124,0.0014624986270020237,0.7875991823369227
PC125,0.0014492583123664974,0.7890484406492893
PC126,0.0014375052997936324,0.7904859459490828
PC127,0.0014163693952593793,0.7919023153443422
PC128,0.0014090770268945514,0.7933113923712367
