split,repeat,fold,k,train_size,validation_size,remaining_features,pca_components,explained_variance,mean_validation_within_variance,mean_validation_silhouette,non_empty_clusters,minimum_cluster_size,maximum_cluster_size
25,5,5,3,3001,750,1514,232,0.900521589113379,53.158914541827876,0.13157826838359973,3,228,282
25,5,5,4,3001,750,1514,232,0.900521589113379,50.46186465759912,0.14457614171968705,4,34,282
25,5,5,5,3001,750,1514,232,0.900521589113379,48.72615366002246,0.09055184474091624,5,34,240
25,5,5,6,3001,750,1514,232,0.900521589113379,47.74008285502347,0.09836427673325424,6,34,240
25,5,5,7,3001,750,1514,232,0.900521589113379,46.82613822019455,0.09885470942291567,7,34,194
25,5,5,8,3001,750,1514,232,0.900521589113379,45.917727666920186,0.10161486879715548,8,34,143
25,5,5,9,3001,750,1514,232,0.900521589113379,45.11240396617683,0.10610724404280192,9,34,140
25,5,5,10,3001,750,1514,232,0.900521589113379,44.200359392799356,0.1101113425735025,10,34,122
26,6,1,2,3000,751,1502,232,0.9004694037414959,59.11906017474571,0.23159323746002652,2,213,538
26,6,1,3,3000,751,1502,232,0.9004694037414959,53.20857474674466,0.12733757653186478,3,213,275
26,6,1,4,3000,751,1502,232,0.9004694037414959,50.76524326196272,0.13890163032353747,4,31,275
26,6,1,5,3000,751,1502,232,0.9004694037414959,49.351146203745074,0.08391340412179561,5,31,275
26,6,1,6,3000,751,1502,232,0.9004694037414959,48.34800821324031,0.09190983511077115,6,31,275
26,6,1,7,3000,751,1502,232,0.9004694037414959,47.45759513830254,0.09424697598874314,7,31,275
26,6,1,8,3000,751,1502,232,0.9004694037414959,46.583024866890526,0.09601304509651312,8,31,230
26,6,1,9,3000,751,1502,232,0.9004694037414959,45.73433855020234,0.10250287938442824,9,17,239
26,6,1,10,3000,751,1502,232,0.9004694037414959,44.77364789752792,0.10499229941790453,10,31,124
27,6,2,2,3001,750,1524,231,0.9003670528143844,57.41867321604155,0.23567057887013532,2,204,546
27,6,2,3,3001,750,1524,231,0.9003670528143844,51.49407387095258,0.13418740126847606,3,204,285
27,6,2,4,3001,750,1524,231,0.9003670528143844,48.92398091871924,0.1467052700879938,4,36,285
27,6,2,5,3001,750,1524,231,0.9003670528143844,47.27061913136653,0.08849835892158839,5,36,261
27,6,2,6,3001,750,1524,231,0.9003670528143844,46.262536975197584,0.09235875025378514,6,36,261
27,6,2,7,3001,750,1524,231,0.9003670528143844,45.21076657082897,0.10456011486129328,7,36,220
27,6,2,8,3001,750,1524,231,0.9003670528143844,44.151087367223234,0.10373828830426572,8,36,139
27,6,2,9,3001,750,1524,231,0.9003670528143844,43.34967321644484,0.10760481632595384,9,36,140
27,6,2,10,3001,750,1524,231,0.9003670528143844,42.70585790164144,0.11129626927019283,10,36,127
28,6,3,2,3001,750,1521,232,0.9004158082192284,57.409059028854564,0.24754021313151567,2,206,544
28,6,3,3,3001,750,1521,232,0.9004158082192284,51.79492024119487,0.13511349676788414,3,206,300
28,6,3,4,3001,750,1521,232,0.9004158082192284,48.924176015771366,0.14879041861570147,4,38,300
28,6,3,5,3001,750,1521,232,0.9004158082192284,47.118628577558574,0.09183755878662618,5,38,244
28,6,3,6,3001,750,1521,232,0.9004158082192284,46.104173539673404,0.10062071135502944,6,38,244
28,6,3,7,3001,750,1521,232,0.9004158082192284,45.176655700965064,0.10310972066895689,7,38,168
28,6,3,8,3001,750,1521,232,0.9004158082192284,44.21528737705955,0.10697937911555326,8,38,143
28,6,3,9,3001,750,1521,232,0.9004158082192284,43.42550692269561,0.11064932146633691,9,38,141
28,6,3,10,3001,750,1521,232,0.9004158082192284,42.282227027354175,0.11922393947596004,10,37,129
29,6,4,2,3001,750,1515,232,0.9005562876099913,59.112514595408264,0.2336226209495488,2,222,528
29,6,4,3,3001,750,1515,232,0.9005562876099913,53.30626102865835,0.13115684089929983,3,222,273
29,6,4,4,3001,750,1515,232,0.9005562876099913,50.67452179082421,0.1433613150546548,4,32,273
29,6,4,5,3001,750,1515,232,0.9005562876099913,49.022210027671015,0.08908230161042259,5,32,255
29,6,4,6,3001,750,1515,232,0.9005562876099913,48.06194388545392,0.09822395827301536,6,32,255
29,6,4,7,3001,750,1515,232,0.9005562876099913,47.00415645251737,0.10119369275787371,7,32,255
29,6,4,8,3001,750,1515,232,0.9005562876099913,46.25534403032454,0.09810286307966135,8,32,130
29,6,4,9,3001,750,1515,232,0.9005562876099913,45.50383212432946,0.10236185474026005,9,32,131
29,6,4,10,3001,750,1515,232,0.9005562876099913,44.79029061000822,0.10586693682093695,10,32,131
30,6,5,2,3001,750,1517,233,0.9005880470855305,57.744224875082175,0.2436804309101661,2,211,539
30,6,5,3,3001,750,1517,233,0.9005880470855305,52.106644734484085,0.13763533996993085,3,211,307
30,6,5,4,3001,750,1517,233,0.9005880470855305,49.296513599879226,0.15098990614272081,4,36,307
30,6,5,5,3001,750,1517,233,0.9005880470855305,47.60605440567562,0.08575130869411184,5,36,232
30,6,5,6,3001,750,1517,233,0.9005880470855305,46.95604006790214,0.0854285080730093,6,18,232
30,6,5,7,3001,750,1517,233,0.9005880470855305,45.37782976144875,0.10267864753094046,7,36,232
30,6,5,8,3001,750,1517,233,0.9005880470855305,44.51061851741133,0.10900375521719104,8,36,196
30,6,5,9,3001,750,1517,233,0.9005880470855305,43.867622571357636,0.10724075684313701,9,13,137
30,6,5,10,3001,750,1517,233,0.9005880470855305,42.87311016346164,0.11726723980489229,10,36,146
