method,n_row_clusters,n_column_clusters,n_blocks,seed,model_id,block_r2,weighted_h_score,within_block_sse,total_sst,block_mean_range,block_zero_fraction_range,row_cluster_entropy,smallest_row_cluster,largest_row_cluster,smallest_row_cluster_fraction,largest_row_cluster_fraction,column_cluster_entropy,smallest_column_cluster,largest_column_cluster,smallest_column_cluster_fraction,largest_column_cluster_fraction,feature_type_nmi,sparse_flag_nmi,feature_zero_fraction_eta2,activity_chi2,activity_chi2_p_value,activity_chi2_dof,activity_cramers_v,activity_nmi,minimum_expected_frequency,fit_warning_count,fit_warnings,status,error
scale,3,6,18,42,scale_r3_c6_seed42,0.30163572558114926,0.03909403648065111,307347.5479139874,440096.32103496284,0.5690730871882008,0.785189566891592,0.9931746875102201,1056,1428,0.28152492668621704,0.38069848040522525,0.7554762239286927,48,775,0.03151674326986211,0.5088640840446487,0.42398420464396513,0.30032115963318357,0.3546757258115513,38.819761591631206,3.718740520245264e-09,2,0.10173090309240643,0.005813120785823964,483.3782991202346,3,RuntimeWarning: divide by zero encountered in matmul | RuntimeWarning: overflow encountered in matmul | RuntimeWarning: invalid value encountered in matmul,ok,
scale,3,6,18,7,scale_r3_c6_seed7,0.30159563626763874,0.0390937752746371,307365.1910733762,440096.32103496284,0.5690730871882008,0.785189566891592,0.9931746875102201,1056,1428,0.28152492668621704,0.38069848040522525,0.7546551029394435,48,776,0.03151674326986211,0.5095206828627709,0.42308674841891547,0.3002182703933898,0.3547981914615836,38.8197615916312,3.7187405202452774e-09,2,0.10173090309240643,0.005813120785823964,483.3782991202346,3,RuntimeWarning: divide by zero encountered in matmul | RuntimeWarning: overflow encountered in matmul | RuntimeWarning: invalid value encountered in matmul,ok,
scale,3,6,18,99,scale_r3_c6_seed99,0.3015779876594926,0.03909406657424175,307372.9581608927,440096.32103496284,0.5690773449410736,0.7851938246444649,0.9931746875102201,1056,1428,0.28152492668621704,0.38069848040522525,0.7559332997960078,48,774,0.03151674326986211,0.5082074852265266,0.42502054204029605,0.3005208878310711,0.3548658279902683,38.819761591631206,3.718740520245264e-09,2,0.10173090309240643,0.005813120785823964,483.3782991202346,3,RuntimeWarning: divide by zero encountered in matmul | RuntimeWarning: overflow encountered in matmul | RuntimeWarning: invalid value encountered in matmul,ok,
scale,3,7,21,42,scale_r3_c7_seed42,0.31003731788777356,0.03898637279706159,303650.0380490064,440096.32103496284,0.5856992739184971,0.7962799154749619,0.9931746875102201,1056,1428,0.28152492668621704,0.38069848040522525,0.7576398943082013,47,738,0.030860144451739988,0.48456992777413,0.45275012204202075,0.2865644785114899,0.3481591088933547,38.819761591631206,3.718740520245264e-09,2,0.10173090309240643,0.005813120785823964,483.3782991202346,3,RuntimeWarning: divide by zero encountered in matmul | RuntimeWarning: overflow encountered in matmul | RuntimeWarning: invalid value encountered in matmul,ok,
scale,3,7,21,7,scale_r3_c7_seed7,0.31003731788777356,0.03898637279706159,303650.0380490064,440096.32103496284,0.5856992739184971,0.7962799154749619,0.9931746875102201,1056,1428,0.28152492668621704,0.38069848040522525,0.7576398943082013,47,738,0.030860144451739988,0.48456992777413,0.45275012204202075,0.2865644785114899,0.3481591088933547,38.8197615916312,3.7187405202452774e-09,2,0.10173090309240643,0.005813120785823964,483.3782991202346,3,RuntimeWarning: divide by zero encountered in matmul | RuntimeWarning: overflow encountered in matmul | RuntimeWarning: invalid value encountered in matmul,ok,
scale,3,7,21,99,scale_r3_c7_seed99,0.312574885626123,0.03898733317162769,302533.2638229818,440096.32103496284,0.5791657249837749,0.7907230688885724,0.9931746875102201,1056,1428,0.28152492668621704,0.38069848040522525,0.7593554942372946,47,736,0.030860144451739988,0.4832567301378857,0.4526290225587978,0.28672996798907413,0.3521627864114073,38.819761591631206,3.718740520245264e-09,2,0.10173090309240643,0.005813120785823964,483.3782991202346,3,RuntimeWarning: divide by zero encountered in matmul | RuntimeWarning: overflow encountered in matmul | RuntimeWarning: invalid value encountered in matmul,ok,
scale,3,8,24,42,scale_r3_c8_seed42,0.3225373159564291,0.038856308462272636,298148.834886047,440096.32103496284,0.7385483352334181,0.7825746965452848,0.9931746875102201,1056,1428,0.28152492668621704,0.38069848040522525,0.7349187299676239,27,726,0.01772816808929744,0.4766907419566645,0.4554736528320087,0.2878497719468002,0.3535025192837921,38.819761591631206,3.718740520245264e-09,2,0.10173090309240643,0.005813120785823964,483.3782991202346,3,RuntimeWarning: divide by zero encountered in matmul | RuntimeWarning: overflow encountered in matmul | RuntimeWarning: invalid value encountered in matmul,ok,
scale,3,8,24,7,scale_r3_c8_seed7,0.32858064501398465,0.03884155414255251,295489.18800101307,440096.32103496284,0.7422900406325821,0.7825746965452848,0.9931746875102201,1056,1428,0.28152492668621704,0.38069848040522525,0.7382944506077467,27,722,0.01772816808929744,0.47406434668417596,0.45969231171173125,0.2882501458580722,0.35523788414425295,38.8197615916312,3.7187405202452774e-09,2,0.10173090309240643,0.005813120785823964,483.3782991202346,3,RuntimeWarning: divide by zero encountered in matmul | RuntimeWarning: overflow encountered in matmul | RuntimeWarning: invalid value encountered in matmul,ok,
scale,3,8,24,99,scale_r3_c8_seed99,0.3266054403437524,0.038839610271558404,296358.46830967336,440096.32103496284,0.7206253023397917,0.7825746965452848,0.9931746875102201,1056,1428,0.28152492668621704,0.38069848040522525,0.7382699621019524,31,724,0.020354563361785948,0.47537754432042023,0.4568585577867809,0.2851197532860789,0.35532267854298927,38.819761591631206,3.718740520245264e-09,2,0.10173090309240643,0.005813120785823964,483.3782991202346,3,RuntimeWarning: divide by zero encountered in matmul | RuntimeWarning: overflow encountered in matmul | RuntimeWarning: invalid value encountered in matmul,ok,
scale,4,3,12,42,scale_r4_c3_seed42,0.1369304421358476,0.03975781979969573,379833.73721328547,440096.32103496284,0.5035314933666786,0.5035314933666786,0.8776366244292809,173,1428,0.04612103439082911,0.38069848040522525,0.5997276250367078,93,1186,0.06106369008535785,0.7787261982928431,0.23903725275961513,0.20756848962048768,0.02597103518872137,42.16127825209656,3.7080771126852318e-09,3,0.1060189143400349,0.0059197394330650355,79.18981604905359,3,RuntimeWarning: divide by zero encountered in matmul | RuntimeWarning: overflow encountered in matmul | RuntimeWarning: invalid value encountered in matmul,ok,
scale,4,3,12,7,scale_r4_c3_seed7,0.1374936285829057,0.03975517367046087,379585.88092987845,440096.32103496284,0.4899390009014583,0.48993900090145837,0.8776366244292809,173,1428,0.04612103439082911,0.38069848040522525,0.6077907771359561,99,1181,0.06500328299409061,0.7754432042022325,0.24175840528257964,0.20987636071499474,0.02557289757263686,42.16127825209656,3.7080771126852318e-09,3,0.1060189143400349,0.0059197394330650355,79.18981604905359,3,RuntimeWarning: divide by zero encountered in matmul | RuntimeWarning: overflow encountered in matmul | RuntimeWarning: invalid value encountered in matmul,ok,
scale,4,3,12,99,scale_r4_c3_seed99,0.1369304421358476,0.039757819799695726,379833.73721328547,440096.32103496284,0.5035314933666786,0.5035314933666786,0.8776366244292809,173,1428,0.04612103439082911,0.38069848040522525,0.5997276250367078,93,1186,0.06106369008535785,0.7787261982928431,0.23903725275961513,0.20756848962048768,0.02597103518872137,42.16127825209656,3.7080771126852318e-09,3,0.1060189143400349,0.0059197394330650355,79.18981604905359,3,RuntimeWarning: divide by zero encountered in matmul | RuntimeWarning: overflow encountered in matmul | RuntimeWarning: invalid value encountered in matmul,ok,
scale,4,4,16,42,scale_r4_c4_seed42,0.3012633819698819,0.03952664081222263,307511.4149674671,440096.32103496284,0.5180567691034668,0.6890660295784349,0.8736355241461552,173,1533,0.04612103439082911,0.4086910157291389,0.622814684375275,88,1105,0.05778069599474721,0.7255416940249507,0.19742399548076114,0.23466094126573572,0.28732326816672477,44.57096316884712,1.141404830239604e-09,3,0.10900652059678449,0.00627614161381849,79.18981604905359,3,RuntimeWarning: divide by zero encountered in matmul | RuntimeWarning: overflow encountered in matmul | RuntimeWarning: invalid value encountered in matmul,ok,
scale,4,4,16,7,scale_r4_c4_seed7,0.30222468199231367,0.039526438376851346,307088.350364184,440096.32103496284,0.5165707869500816,0.6920472053778004,0.8737415132892571,173,1531,0.04612103439082911,0.40815782458011196,0.6239360554547781,88,1104,0.05778069599474721,0.7248850952068286,0.1968977987134142,0.23513668467323343,0.2935344867946466,45.30379776426743,7.974436406096053e-10,3,0.10989900815115039,0.00637830870313108,79.18981604905359,3,RuntimeWarning: divide by zero encountered in matmul | RuntimeWarning: overflow encountered in matmul | RuntimeWarning: invalid value encountered in matmul,ok,
scale,4,4,16,99,scale_r4_c4_seed99,0.3021579679654304,0.03952829590386263,307117.7109619768,440096.32103496284,0.5166702532448633,0.6920331770295562,0.8736355241461552,173,1533,0.04612103439082911,0.4086910157291389,0.6239360554547781,88,1104,0.05778069599474721,0.7248850952068286,0.1968977987134142,0.23513668467323343,0.2935344867946466,44.57096316884712,1.141404830239604e-09,3,0.10900652059678449,0.00627614161381849,79.18981604905359,3,RuntimeWarning: divide by zero encountered in matmul | RuntimeWarning: overflow encountered in matmul | RuntimeWarning: invalid value encountered in matmul,ok,
scale,4,5,20,42,scale_r4_c5_seed42,0.2908475017414517,0.03945314507270615,312095.40553634,440096.32103496284,0.5656759988204509,0.7317926794979935,0.8776366244292809,173,1428,0.04612103439082911,0.38069848040522525,0.7924228397425971,81,791,0.05318450426789232,0.5193696651346028,0.4286613232072698,0.3054270302980756,0.32593187534617335,42.16127825209656,3.7080771126852318e-09,3,0.1060189143400349,0.0059197394330650355,79.18981604905359,3,RuntimeWarning: divide by zero encountered in matmul | RuntimeWarning: overflow encountered in matmul | RuntimeWarning: invalid value encountered in matmul,ok,
scale,4,5,20,7,scale_r4_c5_seed7,0.2910205247817792,0.03945118729144952,312019.25873283757,440096.32103496284,0.5656916646928943,0.7318083453704369,0.8776366244292809,173,1428,0.04612103439082911,0.38069848040522525,0.7940734347774383,81,788,0.05318450426789232,0.5173998686802364,0.4317180130623463,0.3082471234075377,0.3265039602028149,42.16127825209656,3.7080771126852318e-09,3,0.1060189143400349,0.0059197394330650355,79.18981604905359,3,RuntimeWarning: divide by zero encountered in matmul | RuntimeWarning: overflow encountered in matmul | RuntimeWarning: invalid value encountered in matmul,ok,
scale,4,5,20,99,scale_r4_c5_seed99,0.2910205247817793,0.03945118729144953,312019.2587328375,440096.32103496284,0.5656916646928943,0.7318083453704369,0.8776366244292809,173,1428,0.04612103439082911,0.38069848040522525,0.7940734347774383,81,788,0.05318450426789232,0.5173998686802364,0.43171801306234636,0.3082471234075377,0.3265039602028149,42.16127825209656,3.7080771126852318e-09,3,0.1060189143400349,0.0059197394330650355,79.18981604905359,3,RuntimeWarning: divide by zero encountered in matmul | RuntimeWarning: overflow encountered in matmul | RuntimeWarning: invalid value encountered in matmul,ok,
scale,4,6,24,42,scale_r4_c6_seed42,0.31879009495746413,0.03860342015761501,299797.9730617964,440096.32103496284,0.5690730871882008,0.785189566891592,0.8776366244292809,173,1428,0.04612103439082911,0.38069848040522525,0.7554762239286927,48,775,0.03151674326986211,0.5088640840446487,0.42398420464396513,0.30032115963318357,0.3546757258115513,42.16127825209656,3.7080771126852318e-09,3,0.1060189143400349,0.0059197394330650355,79.18981604905359,3,RuntimeWarning: divide by zero encountered in matmul | RuntimeWarning: overflow encountered in matmul | RuntimeWarning: invalid value encountered in matmul,ok,
scale,4,6,24,7,scale_r4_c6_seed7,0.31875005081496977,0.03860316243145188,299815.5963415872,440096.32103496284,0.5690730871882008,0.785189566891592,0.8776366244292809,173,1428,0.04612103439082911,0.38069848040522525,0.7546551029394435,48,776,0.03151674326986211,0.5095206828627709,0.42308674841891547,0.3002182703933898,0.3547981914615836,42.16127825209656,3.7080771126852318e-09,3,0.1060189143400349,0.0059197394330650355,79.18981604905359,3,RuntimeWarning: divide by zero encountered in matmul | RuntimeWarning: overflow encountered in matmul | RuntimeWarning: invalid value encountered in matmul,ok,
scale,4,6,24,99,scale_r4_c6_seed99,0.3187343184636725,0.03860360135421421,299822.52009151434,440096.32103496284,0.5690773449410736,0.7851938246444649,0.8776366244292809,173,1428,0.04612103439082911,0.38069848040522525,0.7559332997960078,48,774,0.03151674326986211,0.5082074852265266,0.42502054204029605,0.3005208878310711,0.3548658279902683,42.16127825209656,3.7080771126852318e-09,3,0.1060189143400349,0.0059197394330650355,79.18981604905359,3,RuntimeWarning: divide by zero encountered in matmul | RuntimeWarning: overflow encountered in matmul | RuntimeWarning: invalid value encountered in matmul,ok,
scale,4,7,28,42,scale_r4_c7_seed42,0.327258632743353,0.03850091376963909,296071.00073768117,440096.32103496284,0.5856992739184971,0.7962799154749619,0.8776366244292809,173,1428,0.04612103439082911,0.38069848040522525,0.7576398943082013,47,738,0.030860144451739988,0.48456992777413,0.45275012204202075,0.2865644785114899,0.3481591088933547,42.16127825209656,3.7080771126852318e-09,3,0.1060189143400349,0.0059197394330650355,79.18981604905359,3,RuntimeWarning: divide by zero encountered in matmul | RuntimeWarning: overflow encountered in matmul | RuntimeWarning: invalid value encountered in matmul,ok,
scale,4,7,28,7,scale_r4_c7_seed7,0.327258632743353,0.03850091376963909,296071.00073768117,440096.32103496284,0.5856992739184971,0.7962799154749619,0.8776366244292809,173,1428,0.04612103439082911,0.38069848040522525,0.7576398943082013,47,738,0.030860144451739988,0.48456992777413,0.45275012204202075,0.2865644785114899,0.3481591088933547,42.16127825209656,3.7080771126852318e-09,3,0.1060189143400349,0.0059197394330650355,79.18981604905359,3,RuntimeWarning: divide by zero encountered in matmul | RuntimeWarning: overflow encountered in matmul | RuntimeWarning: invalid value encountered in matmul,ok,
scale,4,7,28,99,scale_r4_c7_seed99,0.32979719224521775,0.038501950546938925,294953.7900401821,440096.32103496284,0.5791657249837749,0.7907230688885724,0.8776366244292809,173,1428,0.04612103439082911,0.38069848040522525,0.7593554942372946,47,736,0.030860144451739988,0.4832567301378857,0.4526290225587978,0.28672996798907413,0.3521627864114073,42.16127825209656,3.7080771126852318e-09,3,0.1060189143400349,0.0059197394330650355,79.18981604905359,3,RuntimeWarning: divide by zero encountered in matmul | RuntimeWarning: overflow encountered in matmul | RuntimeWarning: invalid value encountered in matmul,ok,
