method,n_row_clusters,n_column_clusters,n_blocks,seed,model_id,column_cluster,n_features,feature_cluster_fraction,n_binary_features,n_numeric_features,binary_feature_fraction,numeric_feature_fraction,n_sparse_features,sparse_feature_fraction,mean_feature_zero_fraction,median_feature_zero_fraction,minimum_feature_zero_fraction,maximum_feature_zero_fraction,mean_feature_value,mean_feature_std,median_unique_values
scale,5,8,40,7,scale_r5_c8_seed7,3,27,0.01772816808929744,27,0,1.0,0.0,0,0.0,0.6208418495808524,0.6414289522793921,0.42068781658224474,0.7947214076246334,0.37915815041914747,0.4729927895499597,2.0
scale,5,8,40,7,scale_r5_c8_seed7,4,60,0.03939592908732764,27,33,0.45,0.55,0,0.0,0.25538523060517193,0.0035990402559317515,0.0,0.8067182084777392,0.53050239547486,0.26088926521617983,185.5
scale,5,8,40,7,scale_r5_c8_seed7,5,94,0.061720288903479976,94,0,1.0,0.0,0,0.0,0.7634644945744966,0.7864569448147161,0.3351106371634231,0.8834977339376167,0.23653550542550356,0.40965787768008133,2.0
scale,5,8,40,7,scale_r5_c8_seed7,6,47,0.030860144451739988,47,0,1.0,0.0,0,0.0,0.8230202442469241,0.8296454278858971,0.754732071447614,0.8704345507864569,0.17697975575307576,0.3792025459764288,2.0
scale,5,8,40,7,scale_r5_c8_seed7,7,47,0.030860144451739988,43,4,0.9148936170212766,0.0851063829787234,0,0.0,0.49786439928075926,0.5662490002665955,0.0,0.8091175686483605,0.46819775162588123,0.4478970726113722,2.0
scale,5,8,40,99,scale_r5_c8_seed99,0,724,0.47537754432042023,66,658,0.09116022099447514,0.9088397790055248,293,0.4046961325966851,0.7927061071007218,0.9192215409224207,0.0,0.9898693681684884,0.05171830248016588,0.09441039466879844,9.5
scale,5,8,40,99,scale_r5_c8_seed99,1,47,0.030860144451739988,47,0,1.0,0.0,0,0.0,0.8230202442469241,0.8296454278858971,0.754732071447614,0.8704345507864569,0.17697975575307576,0.3792025459764288,2.0
scale,5,8,40,99,scale_r5_c8_seed99,2,329,0.21602101116217992,329,0,1.0,0.0,324,0.9848024316109423,0.9788870890761451,0.9829378832311384,0.6803519061583577,0.9896027725939749,0.021112910923854953,0.13652122236566155,2.0
scale,5,8,40,99,scale_r5_c8_seed99,3,31,0.020354563361785948,31,0,1.0,0.0,0,0.0,0.6264738005349111,0.6416955478539056,0.42068781658224474,0.7947214076246334,0.37352619946508897,0.4714400741946902,2.0
scale,5,8,40,99,scale_r5_c8_seed99,4,60,0.03939592908732764,27,33,0.45,0.55,0,0.0,0.25538523060517193,0.0035990402559317515,0.0,0.8067182084777392,0.53050239547486,0.26088926521617983,185.5
scale,5,8,40,99,scale_r5_c8_seed99,5,88,0.05778069599474721,88,0,1.0,0.0,0,0.0,0.7739178643270885,0.7908557717941882,0.3681684884030925,0.8834977339376167,0.22608213567291147,0.4059202262060834,2.0
