fold,k,mean_validation_within_distance,mean_validation_silhouette,non_empty_clusters,minimum_cluster_size,maximum_cluster_size,remaining_features,pca_components,explained_variance
7,9,46.81650404406404,0.0937518841548271,9,13,78,1518,235,0.9003983113492606
7,10,45.634540632193925,0.09921169717544288,10,11,61,1518,235,0.9003983113492606
8,2,57.382037980047265,0.24061141078549292,2,105,270,1527,236,0.9002542075222625
8,3,51.76750509487123,0.13393250516690985,3,105,144,1527,236,0.9002542075222625
8,4,49.418045449448236,0.14566188958056694,4,15,144,1527,236,0.9002542075222625
8,5,47.611442950657974,0.09296125543054741,5,15,126,1527,236,0.9002542075222625
8,6,46.676044876115355,0.09915001893289256,6,15,126,1527,236,0.9002542075222625
8,7,45.674130914072194,0.10176195211123419,7,15,126,1527,236,0.9002542075222625
8,8,44.90863158895414,0.10163132040215672,8,15,70,1527,236,0.9002542075222625
8,9,43.90449210140685,0.10838611920984716,9,15,76,1527,236,0.9002542075222625
8,10,43.02255888293357,0.11437068043555002,10,15,67,1527,236,0.9002542075222625
9,2,57.728328610683285,0.23860170810699963,2,101,274,1528,237,0.9004495523021412
9,3,52.037090181270024,0.1317137482189356,3,101,148,1528,237,0.9004495523021412
9,4,49.821316173439776,0.14230428463599631,4,16,148,1528,237,0.9004495523021412
9,5,48.04531121365949,0.0836401153050804,5,16,126,1528,237,0.9004495523021412
9,6,46.91421389129892,0.09237507107671303,6,16,126,1528,237,0.9004495523021412
9,7,45.83503732746257,0.09730056494308444,7,16,126,1528,237,0.9004495523021412
9,8,44.83268751258621,0.10057824829768748,8,16,68,1528,237,0.9004495523021412
9,9,43.85211142074037,0.10599370666413582,9,16,64,1528,237,0.9004495523021412
9,10,43.00004282465255,0.11030610925135363,10,15,60,1528,237,0.9004495523021412
10,2,57.259340378642726,0.23578449010117228,2,102,273,1525,235,0.9000522229022248
10,3,51.2690361104947,0.13855663008194477,3,102,146,1525,235,0.9000522229022248
10,4,49.084279719822824,0.14882159948736903,4,14,146,1525,235,0.9000522229022248
10,5,47.47831358010121,0.08398689830669982,5,14,127,1525,235,0.9000522229022248
10,6,46.35896871696843,0.0945760911971851,6,14,127,1525,235,0.9000522229022248
10,7,45.370783863410026,0.0977481583274745,7,14,127,1525,235,0.9000522229022248
10,8,44.4103737059254,0.09845047426262335,8,14,66,1525,235,0.9000522229022248
10,9,43.77217688777613,0.09954615050931642,9,7,66,1525,235,0.9000522229022248
10,10,43.013618654078165,0.1038121770239105,10,7,66,1525,235,0.9000522229022248
